# Kodak H-1-5207, March 2022, page 3 Modulation-Transfer Function Curves; raster-plate digitisation. See SOURCES.md.
cyclesPerMM,red,green,blue
3,1.047266,1.047266,1.047266
5,1.047266,1.047266,1.047266
10,0.998276,1.053467,1.053467
20,0.775240,0.933477,1.016214
30,0.574591,0.764351,0.846732
40,0.412751,0.737688,0.737688
50,0.306697,0.629124,0.629124
60,0.242368,0.528108,0.528108
70,0.193922,0.423730,0.423730
80,0.164375,0.374876,0.374876
