# Kodak E-4050, revised 2-16, page 4; vector-path digitisation. See SOURCES.md.
logExposure,density
-3.440240,0.219256
-3.239820,0.224524
-3.040539,0.232328
-2.991044,0.234929
-2.940329,0.236252
-2.890807,0.238832
-2.840147,0.244056
-2.789459,0.251904
-2.739937,0.261030
-2.689249,0.271457
-2.639727,0.285831
-2.590178,0.302783
-2.540683,0.323660
-2.489995,0.344536
-2.440473,0.368035
-2.390951,0.392835
-2.340236,0.418936
-2.290741,0.446316
-2.240026,0.472417
-2.039634,0.574262
-1.840353,0.677365
-1.740143,0.729545
-1.639960,0.783069
-1.539750,0.835271
-1.439568,0.888752
-1.340497,0.942254
-1.240286,0.997079
-1.140077,1.050560
-1.039867,1.105428
-0.840586,1.215012
-0.740403,1.271159
-0.640166,1.327263
-0.439746,1.439493
-0.240493,1.553001
-0.040100,1.666575
0.160320,1.781405
0.259418,1.838853
0.359573,1.896258
0.459810,1.954985
0.559993,2.015012
