# Kodak E-4050, revised 2-16, page 4; vector-path digitisation. See SOURCES.md.
cyclesPerMM,red,green,blue
3,1.071921,1.063668,1.050822
5,1.077337,1.087669,1.072083
10,1.056870,1.166214,1.114165
20,0.908809,1.111763,1.049463
30,0.647298,0.891085,0.874082
40,0.495006,0.744647,0.744524
50,0.398236,0.618253,0.650304
60,0.292222,0.504216,0.574046
70,0.245609,0.437097,0.512295
80,0.213513,0.387436,0.463864
