# Kodak E-4050, revised 2-16, page 4; vector-path digitisation. See SOURCES.md.
wavelengthNM,red,green,blue
400,0.000000,34.136203,363.073679
410,0.000000,34.080141,395.613658
420,0.000000,28.378917,355.858540
430,0.000000,24.408783,362.076470
440,0.000000,21.494684,355.643898
450,0.000000,20.751241,320.763947
460,0.000000,21.870045,336.542761
470,0.000000,24.343158,379.781148
480,0.000000,42.308294,206.719938
490,2.415648,75.534652,46.499492
500,3.352239,108.171330,15.676114
510,4.687592,129.949337,5.946888
520,5.980066,160.622653,0.000000
530,6.579876,202.530160,0.000000
540,6.047337,278.290121,0.000000
550,6.256313,341.992535,0.000000
560,10.546732,291.743342,0.000000
570,19.598811,222.944051,0.000000
580,49.523701,152.644342,0.000000
590,103.196408,36.641056,0.000000
600,144.308977,0.000000,0.000000
610,194.692500,0.000000,0.000000
620,237.281675,0.000000,0.000000
630,251.099383,0.000000,0.000000
640,259.193645,0.000000,0.000000
650,406.147723,0.000000,0.000000
660,315.932071,0.000000,0.000000
670,53.279551,0.000000,0.000000
680,0.000000,0.000000,0.000000
690,0.000000,0.000000,0.000000
700,0.000000,0.000000,0.000000
