# Kodak F-4017, revised 2-16, page 7; vector-path digitisation. See SOURCES.md.
cyclesPerMM,response
3,1.081261
5,1.103477
10,1.118306
20,1.046295
30,0.917079
40,0.732758
50,0.546793
60,0.378844
70,0.254566
