# Kodak F-4017, revised 2-16, page 7; vector-path digitisation. See SOURCES.md.
logExposure,density
-0.182943,1.834760
-0.165120,1.844444
-0.147269,1.854096
-0.129388,1.863717
-0.111478,1.873305
-0.093538,1.882859
-0.075568,1.892380
-0.057566,1.901868
-0.039533,1.911320
-0.021468,1.920737
-0.003371,1.930119
0.014759,1.939464
0.032923,1.948772
0.051120,1.958044
0.069352,1.967277
0.087619,1.976472
0.105921,1.985628
0.124259,1.994745
0.142634,2.003821
0.161045,2.012858
0.179494,2.021853
0.197980,2.030807
0.216504,2.039718
0.278537,2.069203
0.348942,2.102309
