# Fujifilm AF3-0221E2, page 8, MTF Curve; raster/vector digitisation. See SOURCES.md.
cyclesPerMM,red,green,blue
3,1.115516,1.115516,1.115516
5,1.190650,1.190650,1.190650
10,1.240682,1.240682,1.240682
20,1.065680,1.065680,1.065680
30,0.819838,0.819838,0.819838
40,0.610404,0.610404,0.610404
50,0.458550,0.458550,0.458550
60,0.351644,0.351644,0.351644
