# Kodak E-4051, revised 2-16, page 4; vector-path digitisation. See SOURCES.md.
logExposure,density
-3.028436,0.834779
-3.008436,0.836563
-2.988436,0.838457
-2.968436,0.840412
-2.948436,0.842383
-2.928436,0.844326
-2.908436,0.846193
-2.888436,0.847937
-2.868436,0.849507
-2.848436,0.850845
-2.828436,0.851885
-2.808436,0.852444
-2.788436,0.852527
-2.768436,0.852527
-2.748436,0.852527
-2.728436,0.852527
-2.708436,0.852527
-2.688436,0.852527
-2.668436,0.852527
-2.648436,0.852527
-2.628436,0.852527
-2.608436,0.853079
-2.588436,0.853953
-2.568436,0.854986
-2.548436,0.856274
-2.528436,0.857915
-2.508436,0.860004
-2.488436,0.862640
-2.468436,0.865928
-2.448436,0.869980
-2.428436,0.874785
-2.408436,0.880169
-2.388436,0.886097
-2.368436,0.892534
-2.348436,0.899452
-2.328436,0.906825
-2.308436,0.914627
-2.288436,0.922836
-2.268436,0.931432
-2.248436,0.940395
-2.228436,0.949864
-2.208436,0.960024
-2.188436,0.970778
-2.168436,0.982021
-2.148436,0.993640
-2.128436,1.005517
-2.108436,1.017531
-2.088436,1.029564
-2.068436,1.041498
-2.048436,1.053259
-2.028436,1.065131
-2.008436,1.077160
-1.988436,1.089305
-1.968436,1.101531
-1.948436,1.113799
-1.928436,1.126073
-1.908436,1.138317
-1.888436,1.150497
-1.868436,1.162577
-1.848436,1.174536
-1.828436,1.186466
-1.808436,1.198364
-1.788436,1.210231
-1.768436,1.222065
-1.748436,1.233864
-1.728436,1.245628
-1.708436,1.257355
-1.688436,1.269044
-1.668436,1.280693
-1.648436,1.292300
-1.628436,1.303839
-1.608436,1.315321
-1.588436,1.326755
-1.568436,1.338148
-1.548436,1.349509
-1.528436,1.360845
-1.508436,1.372164
-1.488436,1.383476
-1.468436,1.394788
-1.448436,1.406108
-1.428436,1.417470
-1.408436,1.428828
-1.388436,1.440183
-1.368436,1.451532
-1.348436,1.462876
-1.328436,1.474214
-1.308436,1.485546
-1.288436,1.496872
-1.268436,1.508191
-1.248436,1.519495
-1.228436,1.530703
-1.208436,1.541840
-1.188436,1.552937
-1.168436,1.564023
-1.148436,1.575125
-1.128436,1.586272
-1.108436,1.597494
-1.088436,1.608818
-1.068436,1.620276
-1.048436,1.631899
-1.028436,1.643681
-1.008436,1.655593
-0.988436,1.667622
-0.968436,1.679756
-0.948436,1.691978
-0.928436,1.704274
-0.908436,1.716628
-0.888436,1.729023
-0.868436,1.741445
-0.848436,1.753865
-0.828436,1.766297
-0.808436,1.778801
-0.788436,1.791366
-0.768436,1.803984
-0.748436,1.816647
-0.728436,1.829344
-0.708436,1.842067
-0.688436,1.854809
-0.668436,1.867559
-0.648436,1.880314
-0.628436,1.893091
-0.608436,1.905885
-0.588436,1.918696
-0.568436,1.931525
-0.548436,1.944373
-0.528436,1.957241
-0.508436,1.970129
-0.488436,1.983037
-0.468436,1.995967
-0.448436,2.008923
-0.428436,2.021904
-0.408436,2.034891
-0.388436,2.047889
-0.368436,2.060903
-0.348436,2.073938
-0.328436,2.086999
-0.308436,2.100090
-0.288436,2.113217
-0.268436,2.126384
-0.248436,2.139597
-0.228436,2.152926
-0.208436,2.166386
-0.188436,2.179931
-0.168436,2.193514
-0.148436,2.207086
-0.128436,2.220600
-0.108436,2.234007
-0.088436,2.247259
-0.068436,2.260309
-0.048436,2.273117
-0.028436,2.285700
-0.008436,2.298086
0.011564,2.310313
0.031564,2.322417
0.051564,2.334437
0.071564,2.346410
0.091564,2.358373
0.111564,2.370365
0.131564,2.382421
0.151564,2.394573
0.171564,2.406764
0.191564,2.418973
0.211564,2.431194
0.231564,2.443423
0.251564,2.455654
0.271564,2.467882
0.291564,2.480101
0.311564,2.492307
0.331564,2.504495
0.351564,2.516647
0.371564,2.528742
0.391564,2.540807
0.411564,2.552853
0.431564,2.564892
0.451564,2.576935
0.471564,2.588993
0.491564,2.601077
0.511564,2.613199
0.531564,2.625369
0.551564,2.637597
0.571564,2.649869
0.591564,2.662175
0.611564,2.674512
0.631564,2.686877
0.651564,2.699265
0.671564,2.711674
0.691564,2.724099
0.711564,2.736538
0.731564,2.748986
0.751564,2.761438
0.771564,2.773892
0.791564,2.786358
0.811564,2.798834
0.831564,2.811318
0.851564,2.823808
0.871564,2.836302
0.891564,2.848798
0.911564,2.861294
0.931564,2.873788
0.951564,2.886279
