# Kodak E-4051, revised 2-16, page 4; vector-path digitisation. See SOURCES.md.
wavelengthNM,minimum,midscale
400,0.679004,1.250116
410,0.656331,1.313444
420,0.722904,1.502693
430,0.779686,1.674305
440,0.818245,1.771202
450,0.823412,1.797467
460,0.798029,1.764491
470,0.798508,1.708369
480,0.795909,1.619736
490,0.731420,1.481259
500,0.694565,1.414466
510,0.721328,1.450059
520,0.699808,1.458660
530,0.650496,1.456944
540,0.632448,1.476025
550,0.618941,1.445874
560,0.596670,1.328578
570,0.532129,1.127243
580,0.421459,0.904663
590,0.300456,0.729512
600,0.214927,0.637334
610,0.173676,0.622939
620,0.160755,0.659249
630,0.160560,0.723419
640,0.167675,0.807281
650,0.175748,0.895598
660,0.187037,0.985502
670,0.196444,1.066763
680,0.205560,1.134734
690,0.212317,1.181696
700,0.213737,1.197770
