# Kodak E-4051, revised 2-16, page 4; vector-path digitisation. See SOURCES.md.
cyclesPerMM,red,green,blue
3,1.049879,1.036222,1.008872
5,1.005409,1.051126,0.978978
10,0.992412,1.150954,1.060199
20,0.871151,1.117900,0.939900
30,0.587310,0.907393,0.744601
40,0.430262,0.772430,0.630487
50,0.309233,0.679638,0.555314
60,0.253224,0.556693,0.475241
70,0.199728,0.466437,0.411769
