# Kodak H-1-5213t, revised 7-15, page 3 Modulation-Transfer Function Curves; vector-path digitisation. See SOURCES.md.
cyclesPerMM,red,green,blue
3,1.029875,1.025930,0.981772
5,1.013695,1.034059,0.989729
10,0.979857,1.084250,1.078765
20,0.885228,1.037680,1.087356
30,0.672445,0.871975,0.935865
40,0.464197,0.678429,0.795602
50,0.340240,0.549665,0.672859
60,0.267677,0.468737,0.553686
70,0.218785,0.410417,0.456456
80,0.184013,0.366178,0.387735
