# Kodak H-1-5203t, revised 7-15, page 3 Modulation-Transfer Function Curves; vector-path digitisation. See SOURCES.md.
cyclesPerMM,red,green,blue
3,1.002280,1.006190,0.995310
5,0.984215,0.984010,0.963649
10,1.016584,1.018042,0.954452
20,0.858343,0.902651,0.736004
30,0.612425,0.691602,0.566140
40,0.435633,0.546293,0.467465
50,0.311082,0.425576,0.391757
60,0.213820,0.311830,0.322642
70,0.148223,0.227807,0.267514
80,0.108439,0.174415,0.227970
