# CineStill 800T cs41 manufacturer comparison chart; printed log exposure, density; see PROCESS-SOURCES.md.
logExposure,red,green,blue
-4.000000,0.220330,0.585139,0.870485
-3.950000,0.220330,0.585139,0.870485
-3.900000,0.220330,0.585139,0.870485
-3.850000,0.220330,0.585139,0.870485
-3.800000,0.220330,0.585139,0.877709
-3.750000,0.220330,0.585139,0.877709
-3.700000,0.220330,0.588751,0.877709
-3.650000,0.220330,0.587216,0.877709
-3.600000,0.220330,0.588751,0.877709
-3.550000,0.220330,0.588751,0.877709
-3.500000,0.220330,0.588751,0.881321
-3.450000,0.220330,0.592363,0.884933
-3.400000,0.220330,0.592363,0.884933
-3.350000,0.220330,0.592363,0.892157
-3.300000,0.227554,0.595975,0.898839
-3.250000,0.227554,0.603199,0.903896
-3.200000,0.234778,0.611868,0.913829
-3.150000,0.242002,0.625503,0.922317
-3.100000,0.249226,0.639319,0.935320
-3.050000,0.262681,0.659004,0.948955
-3.000000,0.272704,0.679051,0.962590
-2.950000,0.286339,0.701716,0.979837
-2.900000,0.303586,0.726367,0.997085
-2.850000,0.320833,0.757250,1.017312
-2.800000,0.338080,0.784520,1.037358
-2.750000,0.358940,0.819014,1.063274
-2.700000,0.376729,0.849897,1.088287
-2.650000,0.403999,0.887732,1.119169
-2.600000,0.428741,0.922497,1.150052
-2.550000,0.451316,0.960604,1.184546
-2.500000,0.478586,0.997807,1.219040
-2.450000,0.505857,1.029502,1.253535
-2.400000,0.533849,1.060475,1.284417
-2.350000,0.564009,1.094969,1.318911
-2.300000,0.594892,1.126935,1.349794
-2.250000,0.622162,1.156734,1.384288
-2.200000,0.649794,1.184365,1.418782
-2.150000,0.680315,1.216060,1.449665
-2.100000,0.707585,1.245769,1.480547
-2.050000,0.737655,1.275838,1.511429
-2.000000,0.765738,1.303922,1.542312
-1.950000,0.793008,1.334804,1.573194
-1.900000,0.820279,1.362074,1.602090
-1.850000,0.847549,1.395395,1.631347
-1.800000,0.874819,1.423839,1.661868
-1.750000,0.905702,1.454721,1.693111
-1.700000,0.934236,1.485604,1.725258
-1.650000,0.967466,1.517028,1.754876
-1.600000,1.001961,1.547368,1.789370
-1.550000,1.036365,1.574729,1.823865
-1.500000,1.063725,1.606424,1.854747
-1.450000,1.098220,1.636404,1.885630
-1.400000,1.132714,1.662590,1.916512
-1.350000,1.163867,1.687332,1.943782
-1.300000,1.194479,1.714603,1.974665
-1.250000,1.228973,1.743228,2.005547
-1.200000,1.256244,1.771311,2.036429
-1.150000,1.287126,1.800026,2.063700
-1.100000,1.314396,1.830908,2.098194
-1.050000,1.341667,1.858179,2.126458
-1.000000,1.368937,1.889061,2.156347
-0.950000,1.388983,1.912719,2.183617
-0.900000,1.412461,1.939809,2.210888
-0.850000,1.433320,1.964280,2.241770
-0.800000,1.454180,1.992363,2.269040
-0.750000,1.476393,2.018189,2.298568
-0.700000,1.499510,2.045459,2.330805
-0.650000,1.523710,2.079954,2.361687
-0.600000,1.548452,2.110836,2.392570
-0.550000,1.571027,2.141718,2.423452
-0.500000,1.596491,2.168989,2.454334
-0.450000,1.618253,2.196259,2.485217
-0.400000,1.638390,2.220640,2.512487
-0.350000,1.658437,2.247188,2.541293
-0.300000,1.678483,2.270846,2.567028
-0.250000,1.698529,2.297665,2.594298
-0.200000,1.722549,2.321775,2.621569
-0.150000,1.745846,2.346607,2.650013
-0.100000,1.765893,2.374690,2.676109
-0.050000,1.792350,2.396362,2.703380
0.000000,1.813209,2.423633,2.730650
0.050000,1.833256,2.448104,2.750697
0.100000,1.854928,2.470949,2.773994
0.150000,1.875787,2.490996,2.796840
0.200000,1.893395,2.514293,2.818060
0.250000,1.913893,2.538313,2.838558
0.300000,1.934752,2.556011,2.859417
0.350000,1.951999,2.575335,2.876664
0.400000,1.969247,2.597007,2.893911
0.450000,1.986494,2.611455,2.911158
0.500000,2.003741,2.631321,2.929309
0.550000,2.017376,2.647575,2.947368
0.600000,2.028483,2.664190,2.962900
0.650000,2.040764,2.677012,2.980147
0.700000,2.051058,2.690918,2.997394
0.750000,2.062436,2.707624,3.014641
0.800000,2.069659,2.721259,3.028277
0.850000,2.076883,2.734894,3.044892
0.900000,2.084107,2.748349,3.059159
0.950000,2.091331,2.755934,3.072794
1.000000,2.098555,2.766770,3.081011
