# Kodak H-1-5219t, revised 7-15, page 5 Spectral Dye Density Curves; vector-path digitisation. See SOURCES.md.
wavelengthNM,minimum,midscale
400,0.597525,1.098050
410,0.667488,1.253279
420,0.751395,1.425992
430,0.823966,1.583603
440,0.864894,1.644529
450,0.857603,1.631515
460,0.829918,1.580904
470,0.801949,1.504708
480,0.766951,1.429226
490,0.720912,1.370039
500,0.718256,1.383608
510,0.724109,1.430132
520,0.634622,1.402949
530,0.557698,1.397335
540,0.538130,1.407051
550,0.524899,1.353772
560,0.523578,1.255767
570,0.536072,1.148118
580,0.522895,1.035917
590,0.409847,0.881005
600,0.298718,0.778215
610,0.249866,0.762951
620,0.243558,0.808365
630,0.207805,0.815978
640,0.169474,0.822397
650,0.157108,0.854258
660,0.150806,0.885717
670,0.146604,0.908795
680,0.142416,0.919239
690,0.139630,0.912191
700,0.135416,0.888994
