# Kodak H-1-5219t, revised 7-15, page 4 Characteristic Curves; vector-path digitisation. See SOURCES.md.
logExposure,density
-4.000000,0.189392
-3.950000,0.190527
-3.900000,0.191659
-3.850000,0.192790
-3.800000,0.194033
-3.750000,0.195486
-3.700000,0.197087
-3.650000,0.198816
-3.600000,0.200680
-3.550000,0.202715
-3.500000,0.205600
-3.450000,0.210448
-3.400000,0.216409
-3.350000,0.223140
-3.300000,0.230503
-3.250000,0.238447
-3.200000,0.246979
-3.150000,0.256157
-3.100000,0.266047
-3.050000,0.276100
-3.000000,0.286174
-2.950000,0.297345
-2.900000,0.309881
-2.850000,0.323509
-2.800000,0.338089
-2.750000,0.353571
-2.700000,0.369972
-2.650000,0.387386
-2.600000,0.406019
-2.550000,0.426323
-2.500000,0.448570
-2.450000,0.471001
-2.400000,0.493432
-2.350000,0.515863
-2.300000,0.538300
-2.250000,0.560771
-2.200000,0.583268
-2.150000,0.605787
-2.100000,0.628325
-2.050000,0.650884
-2.000000,0.673465
-1.950000,0.696074
-1.900000,0.718719
-1.850000,0.741379
-1.800000,0.764038
-1.750000,0.786698
-1.700000,0.809361
-1.650000,0.832065
-1.600000,0.854805
-1.550000,0.877573
-1.500000,0.900363
-1.450000,0.923176
-1.400000,0.946013
-1.350000,0.968876
-1.300000,0.991775
-1.250000,1.014714
-1.200000,1.037659
-1.150000,1.060603
-1.100000,1.083548
-1.050000,1.106479
-1.000000,1.129420
-0.950000,1.152370
-0.900000,1.175327
-0.850000,1.198290
-0.800000,1.221259
-0.750000,1.244232
-0.700000,1.267211
-0.650000,1.290196
-0.600000,1.313184
-0.550000,1.336171
-0.500000,1.359158
-0.450000,1.382107
-0.400000,1.404527
-0.350000,1.426456
-0.300000,1.448015
-0.250000,1.469260
-0.200000,1.490211
-0.150000,1.510861
-0.100000,1.531174
-0.050000,1.551071
0.000000,1.570459
0.050000,1.589745
0.100000,1.609030
0.150000,1.628314
0.200000,1.647205
0.250000,1.665510
0.300000,1.683327
0.350000,1.700690
0.400000,1.717582
0.450000,1.733922
0.500000,1.749496
0.550000,1.763734
0.600000,1.776799
0.650000,1.789211
0.700000,1.801112
0.750000,1.812525
0.800000,1.823380
0.850000,1.833442
0.900000,1.843072
0.950000,1.852701
1.000000,1.862329
