# Kodak H-1-5219t, revised 7-15, page 4 Spectral Sensitivity Curves; vector-path digitisation. See SOURCES.md.
wavelengthNM,red,green,blue
400,0.000000,0.000000,1575.970150
410,0.000000,0.000000,1554.464660
420,0.000000,0.000000,1488.724671
430,0.000000,0.000000,1438.025676
440,0.000000,0.000000,1285.874436
450,0.000000,11.315941,1178.049463
460,0.000000,14.298186,1154.083556
470,0.000000,18.947847,1072.021290
480,0.000000,44.706343,683.405063
490,0.000000,110.325132,379.418524
500,0.000000,183.212541,176.705741
510,4.231283,235.051533,66.365302
520,5.291904,296.967500,20.141491
530,5.563887,387.280646,0.000000
540,4.570470,526.811039,0.000000
550,4.462113,613.615423,0.000000
560,8.960801,492.229600,0.000000
570,15.779948,381.346114,0.000000
580,39.596427,221.842521,0.000000
590,103.840998,42.106921,0.000000
600,147.069196,0.000000,0.000000
610,197.677384,0.000000,0.000000
620,265.241030,0.000000,0.000000
630,240.990897,0.000000,0.000000
640,241.815874,0.000000,0.000000
650,287.236910,0.000000,0.000000
660,238.257861,0.000000,0.000000
670,106.960963,0.000000,0.000000
680,0.000000,0.000000,0.000000
690,0.000000,0.000000,0.000000
700,0.000000,0.000000,0.000000
