# Kodak H-1-5219t, revised 7-15, page 4 Characteristic Curves; vector-path digitisation. See SOURCES.md.
logExposure,density
-4.000000,0.840013
-3.950000,0.840762
-3.900000,0.841540
-3.850000,0.842478
-3.800000,0.843701
-3.750000,0.845201
-3.700000,0.846636
-3.650000,0.847916
-3.600000,0.848237
-3.550000,0.848399
-3.500000,0.850348
-3.450000,0.854434
-3.400000,0.860681
-3.350000,0.868716
-3.300000,0.876971
-3.250000,0.884582
-3.200000,0.893217
-3.150000,0.901276
-3.100000,0.910594
-3.050000,0.920908
-3.000000,0.931687
-2.950000,0.943117
-2.900000,0.955531
-2.850000,0.968918
-2.800000,0.983924
-2.750000,1.001401
-2.700000,1.020809
-2.650000,1.041765
-2.600000,1.065423
-2.550000,1.089858
-2.500000,1.115999
-2.450000,1.143046
-2.400000,1.169951
-2.350000,1.197111
-2.300000,1.224886
-2.250000,1.252834
-2.200000,1.280364
-2.150000,1.307028
-2.100000,1.333010
-2.050000,1.358886
-2.000000,1.384708
-1.950000,1.410489
-1.900000,1.436257
-1.850000,1.462020
-1.800000,1.487779
-1.750000,1.513538
-1.700000,1.539298
-1.650000,1.565061
-1.600000,1.590792
-1.550000,1.616491
-1.500000,1.642166
-1.450000,1.667821
-1.400000,1.693455
-1.350000,1.719060
-1.300000,1.744651
-1.250000,1.770276
-1.200000,1.795925
-1.150000,1.821596
-1.100000,1.847292
-1.050000,1.873019
-1.000000,1.898802
-0.950000,1.924667
-0.900000,1.950607
-0.850000,1.976637
-0.800000,2.002834
-0.750000,2.029333
-0.700000,2.055937
-0.650000,2.082639
-0.600000,2.109371
-0.550000,2.135917
-0.500000,2.162040
-0.450000,2.187863
-0.400000,2.213539
-0.350000,2.239181
-0.300000,2.264453
-0.250000,2.289153
-0.200000,2.313180
-0.150000,2.337380
-0.100000,2.360797
-0.050000,2.383836
0.000000,2.406532
0.050000,2.429050
0.100000,2.451587
0.150000,2.473901
0.200000,2.495284
0.250000,2.516717
0.300000,2.538404
0.350000,2.558598
0.400000,2.578636
0.450000,2.597758
0.500000,2.614810
0.550000,2.630400
0.600000,2.643763
0.650000,2.657060
0.700000,2.670233
0.750000,2.683656
0.800000,2.696360
0.850000,2.708446
0.900000,2.720528
0.950000,2.732623
1.000000,2.744698
