# Kodak H-1-5219t, revised 7-15, page 4 Characteristic Curves; vector-path digitisation. See SOURCES.md.
logExposure,density
-4.000000,0.584698
-3.950000,0.585264
-3.900000,0.585828
-3.850000,0.586389
-3.800000,0.587184
-3.750000,0.588397
-3.700000,0.589904
-3.650000,0.591667
-3.600000,0.593697
-3.550000,0.596069
-3.500000,0.599527
-3.450000,0.605102
-3.400000,0.611873
-3.350000,0.619475
-3.300000,0.627762
-3.250000,0.636679
-3.200000,0.646237
-3.150000,0.656505
-3.100000,0.667543
-3.050000,0.678736
-3.000000,0.689937
-2.950000,0.702340
-2.900000,0.716431
-2.850000,0.731876
-2.800000,0.748519
-2.750000,0.766309
-2.700000,0.785291
-2.650000,0.805617
-2.600000,0.827637
-2.550000,0.852154
-2.500000,0.878710
-2.450000,0.905274
-2.400000,0.931839
-2.350000,0.958404
-2.300000,0.984984
-2.250000,1.011631
-2.200000,1.038328
-2.150000,1.065067
-2.100000,1.091843
-2.050000,1.118657
-2.000000,1.145513
-1.950000,1.172422
-1.900000,1.199396
-1.850000,1.226381
-1.800000,1.253365
-1.750000,1.280350
-1.700000,1.307334
-1.650000,1.334266
-1.600000,1.361127
-1.550000,1.387938
-1.500000,1.414706
-1.450000,1.441434
-1.400000,1.468120
-1.350000,1.494759
-1.300000,1.521333
-1.250000,1.547846
-1.200000,1.574359
-1.150000,1.600872
-1.100000,1.627384
-1.050000,1.653907
-1.000000,1.680484
-0.950000,1.707104
-0.900000,1.733757
-0.850000,1.760440
-0.800000,1.787153
-0.750000,1.813898
-0.700000,1.840685
-0.650000,1.867522
-0.600000,1.894367
-0.550000,1.921213
-0.500000,1.948059
-0.450000,1.974904
-0.400000,2.001347
-0.350000,2.027236
-0.300000,2.052728
-0.250000,2.077890
-0.200000,2.102746
-0.150000,2.127288
-0.100000,2.151473
-0.050000,2.175201
0.000000,2.198457
0.050000,2.221681
0.100000,2.244905
0.150000,2.268129
0.200000,2.291096
0.250000,2.313348
0.300000,2.335019
0.350000,2.356168
0.400000,2.376791
0.450000,2.396811
0.500000,2.416013
0.550000,2.433827
0.600000,2.450401
0.650000,2.466266
0.700000,2.481575
0.750000,2.496352
0.800000,2.510522
0.850000,2.523828
0.900000,2.536667
0.950000,2.549506
1.000000,2.562345
