# Fujifilm AF3-036E, page 5, MTF Curve; raster/vector digitisation. See SOURCES.md.
cyclesPerMM,red,green,blue
3,1.155121,1.155121,1.155121
5,1.151069,1.151069,1.151069
10,1.127053,1.127053,1.127053
20,0.937395,0.937395,0.937395
30,0.720675,0.720675,0.720675
40,0.504613,0.504613,0.504613
50,0.353179,0.353179,0.353179
60,0.259181,0.259181,0.259181
